user_id,username,post_count,total_words,avg_word_count,avg_sentence_length,avg_punctuation,avg_uppercase_ratio,avg_digit_count,forums_used,topics_used
2,Kimble,2,551.0,275.5,18.98,41.0,0.02025,6.0,2,2
3,Verto,2,365.0,182.5,14.704999999999998,121.5,0.2598,165.0,2,2
5,interceptor,2,131.0,65.5,19.125,62.0,0.5048,190.5,1,1
7,iSellPizza,2,555.0,277.5,11.875,136.0,0.13585,45.0,2,2
8,ENZO,2,482.0,241.0,11.68,111.5,0.05515,22.5,1,1
9,d33poutside,2,375.0,187.5,19.32,66.5,0.2619,146.0,2,2
11,BooMstick,2,80.0,40.0,9.665,4.5,0.0638,2.5,2,2
12,LudoTilMortem,2,512.0,256.0,19.45,41.0,0.033350000000000005,50.5,2,2
13,Bigmeesh,2,313.0,156.5,23.77,20.5,0.030649999999999997,4.5,1,2
14,MrMouse,2,544.0,272.0,14.29,77.5,0.22444999999999998,83.0,2,2
15,WhenInDoubt,2,441.0,220.5,20.61,29.5,0.023,2.0,2,2
16,fnufnu,2,645.0,322.5,13.530000000000001,52.0,0.0225,3.0,1,1
17,yummy5656,2,510.0,255.0,14.32,51.0,0.02845,0.5,1,2
18,ark1,1,11.0,11.0,11.0,3.0,0.087,0.0,1,1
19,White27,2,64.0,32.0,7.375,8.5,0.0391,1.5,1,1
20,realslimshady,2,784.0,392.0,19.145,45.5,0.0305,8.5,2,2
21,roberto77,2,90.0,45.0,25.8,3.5,0.0,0.5,2,2
22,scythe,2,1166.0,583.0,21.6,127.0,0.03615,6.0,2,2
23,bigmoney22,2,158.0,79.0,10.445,9.0,0.05315,3.5,2,2
24,Bluekilo,2,358.0,179.0,15.690000000000001,37.0,0.05135000000000001,0.0,2,2
25,l0neranger,2,30.0,15.0,15.0,1.5,0.03395,0.0,2,2
27,TheDearthStar,2,370.0,185.0,23.799999999999997,22.0,0.03515,5.5,2,2
28,h4t3,1,18.0,18.0,18.0,1.0,0.0141,0.0,1,1
30,Slothkin,1,11.0,11.0,11.0,3.0,0.0455,0.0,1,1
31,Draconem,2,27.0,13.5,5.835,1.5,0.0099,0.0,2,2
33,victoryao27,2,166.0,83.0,10.38,9.0,0.0256,8.0,2,2
34,onetimeuser,2,471.0,235.5,12.735,35.0,0.039,4.0,2,2
35,knightowl,2,315.0,157.5,15.91,25.5,0.029949999999999997,1.0,2,2
36,unknownfame,2,184.0,92.0,12.5,23.0,0.025349999999999998,13.0,1,1
37,lokstarr,2,871.0,435.5,18.75,70.5,0.036,15.0,2,2
38,SuperRyanSmith33,2,1031.0,515.5,14.66,375.0,0.3719,643.0,1,1
40,Schneiderx,1,26.0,26.0,6.5,5.0,0.04,0.0,1,1
41,Tempest,2,388.0,194.0,16.6,32.5,0.0212,3.0,1,1
44,themostseekrit,2,2128.0,1064.0,15.379999999999999,214.0,0.0451,19.0,2,2
45,tayoli,2,23.0,11.5,4.0,4.0,0.05555,0.5,2,2
46,GrandIllusion,2,101.0,50.5,18.915,8.0,0.02815,0.0,2,2
47,kraken,2,1080.0,540.0,20.055,78.0,0.0359,33.5,2,2
49,cxttuml,2,525.0,262.5,34.0,46.5,0.00685,42.5,1,1
50,plasticA,2,557.0,278.5,18.005000000000003,53.0,0.03805,17.0,1,1
52,rainwoman,2,202.0,101.0,25.165,15.0,0.0293,1.0,2,2
53,shadowfeind,2,241.0,120.5,18.69,14.0,0.02375,3.0,2,2
56,test01r,2,574.0,287.0,16.975,56.0,0.0275,21.0,2,2
57,OkThen,2,416.0,208.0,16.545,31.5,0.027049999999999998,3.0,2,2
58,puppetMaster,2,4237.0,2118.5,15.565000000000001,404.5,0.02795,76.5,1,2
59,korgmeister,2,440.0,220.0,14.665,39.0,0.00945,5.0,2,2
60,marcus,2,25.0,12.5,12.5,2.0,0.03705,0.0,1,2
61,Skeem,1,11.0,11.0,11.0,0.0,0.0189,1.0,1,1
63,fox2,2,226.0,113.0,21.555,19.5,0.02025,13.5,1,1
64,DocLove,2,388.0,194.0,34.265,22.0,0.012799999999999999,4.0,1,2
65,Johnhunt,2,117.0,58.5,13.975,12.5,0.0679,0.5,1,2
66,Dogman,2,399.0,199.5,14.57,36.0,0.0606,7.0,2,2
68,bozzmann,2,438.0,219.0,13.93,48.5,0.039400000000000004,24.0,2,2
70,amgbab,2,311.0,155.5,24.775,29.5,0.0263,3.5,2,2
71,rrvax,2,692.0,346.0,15.725,45.0,0.032799999999999996,16.5,2,2
72,obelix,2,382.0,191.0,11.57,60.5,0.06585,8.5,1,1
